name,certificate,distribution,score,amount,Date,Extra,duration
Agent Red (2000),USA:R,2111100000,3.3,930,USA:10-April-2001,(videopremiere),95
Air Guitar Nation (2006),USA:R,0000012211,7.2,1248,USA:9-March-2006,(SouthbySouthwestFilmFestival),81
Air Guitar Nation (2006),USA:R,0000012211,7.2,1248,USA:28-April-2006,(TribecaFilmFestival),81
Air Guitar Nation (2006),USA:R,0000012211,7.2,1248,USA:5-August-2006,(TraverseCityFilmFestival),81
Air Guitar Nation (2006),USA:R,0000012211,7.2,1248,USA:12-April-2007,(WisconsinFilmFestival),81
Air Guitar Nation (2006),USA:R,0000012211,7.2,1248,USA:21-April-2007,(SalemFilmFestival),81
Airboss (1997),USA:PG-13,4111000.00,2.3,135,USA:20-February-2001,(DVDpremiere),90
Akeelah and the Bee (2006),USA:PG,0000012211,7.5,16346,USA:16-March-2006,(ClevelandInternationalFilmFestival),112
Akeelah and the Bee (2006),USA:PG,0000012211,7.5,16346,USA:30-March-2006,(PhiladelphiaInternationalFilmFestival),112
Akeelah and the Bee (2006),USA:PG,0000012211,7.5,16346,USA:28-April-2006,,112
Al di là della legge (1968),USA:PG,0000122100,6.3,854,USA:March-1975,,90
Al Qarem (2006),USA:PG-13,2.0.....24,6.9,12,USA:4-March-2007,(WashingtonD.C.IndependentFilmFestival),82
Al Qarem (2006),USA:PG-13,2.0.....24,6.9,12,USA:4-March-2007,(WashingtonD.C.IndependentFilmFestival),83
Alabama Moon (2009),USA:PG,0000022101,6.6,1151,USA:25-October-2009,(AustinFilmFestival),99
Alabama Moon (2009),USA:PG,0000022101,6.6,1151,USA:27-September-2009,(SidewalkMovingPictureFestival),99
Alabama Moon (2009),USA:PG,0000022101,6.6,1151,USA:18-March-2011,,99
Alabama Moon (2009),USA:PG,0000022101,6.6,1151,USA:25-October-2009,(AustinFilmFestival),99
Alabama Moon (2009),USA:PG,0000022101,6.6,1151,USA:27-September-2009,(SidewalkMovingPictureFestival),99
Alabama Moon (2009),USA:PG,0000022101,6.6,1151,USA:18-March-2011,,99
Alaska Patrol (1949),USA:Approved,..001321..,6.1,17,USA:10-March-1949,,65
Alegría (1999),USA:PG,0000011112,6.6,477,USA:November-1999-,(videopremiere),94
Alegría (1999),USA:PG,0000011112,6.6,477,USA:10-January-1999,(PalmSpringsInternationalFilmFestival),94
Alerte en Méditerranée (1938),USA:Passed,...2..21.2,7.1,7,USA:7-January-1940,,81
Alerte en Méditerranée (1938),USA:Approved,...2..21.2,7.1,7,USA:7-January-1940,,81
Alex & Emma (2003),USA:PG-13,0001221000,5.6,12051,USA:16-June-2003,(premiere),96
Alex & Emma (2003),USA:PG-13,0001221000,5.6,12051,USA:20-June-2003,,96
Alex in Wonder (2001),USA:R,0001220001,5.2,345,USA:9-March-2001,(SantaBarbaraFilmFestival),96
Alex in Wonder (2001),USA:R,0001220001,5.2,345,USA:11-October-2005,(DVDpremiere),96
Alexander the Great (1956),USA:Approved,0000221000,5.8,2809,USA:28-March-1960,(re-release),135
Alexander the Great (1956),USA:Approved,0000221000,5.8,2809,USA:28-March-1960,(re-release),141
Alfredo Alfredo (1972),USA:R,0000122101,6.5,713,USA:17-December-1973,,98
Ali (2001),USA:R,0000023100,6.8,83884,USA:25-December-2001,,165
Alias John Preston (1955),USA:Approved,0001221000,6.1,135,USA:14-December-1955,,71
